sep=,
province_id,name_vi,name_en,region_code,region_name,lat,lon,svg_path_file,label_anchor_px_x,label_anchor_px_y,snap_tolerance_px,difficulty_1to5
1,Lai Châu,Lai Châu Province,TBB,Tây Bắc Bộ,22.316914,103.186972,map/svg/1.svg,103.4,307.1,18,3
2,Lào Cai,Lào Cai Province,TBB,Tây Bắc Bộ,22.059777,104.349230,map/svg/2.svg,168.1,317.1,18,3
4,Cao Bằng,Cao Bằng Province,DBB,Đông Bắc Bộ,22.744492,106.085516,map/svg/4.svg,272.9,277.2,18,3
5,Sơn La,Sơn La Province,TBB,Tây Bắc Bộ,21.193021,104.070558,map/svg/5.svg,153.0,365.0,18,3
7,Tuyên Quang,Tuyên Quang Province,DBB,Đông Bắc Bộ,22.488597,105.101107,map/svg/7.svg,202.0,295.1,18,3
9,Lạng Sơn,Lạng Sơn Province,DBB,Đông Bắc Bộ,21.838554,106.620648,map/svg/9.svg,291.7,328.9,18,3
13,Quảng Ninh,Quảng Ninh Province,DBB,Đông Bắc Bộ,21.100970,107.480653,map/svg/13.svg,334.2,379.3,18,3
18,Ninh Bình,Ninh Bình Province,DBSH,Đồng bằng sông Hồng,20.088480,106.257823,map/svg/18.svg,286.9,440.2,18,3
21,Thanh Hóa,Thanh Hóa Province,BTB,Bắc Trung Bộ,19.950023,105.443380,map/svg/21.svg,234.2,448.0,18,3
22,Nghệ An,Nghệ An Province,BTB,Bắc Trung Bộ,19.202158,105.087104,map/svg/22.svg,195.4,487.2,18,3
23,Hà Tĩnh,Hà Tĩnh Province,BTB,Bắc Trung Bộ,18.347054,105.953508,map/svg/23.svg,251.9,543.3,18,3
25,Quảng Trị,Quảng Trị Province,BTB,Bắc Trung Bộ,17.321566,106.730804,map/svg/25.svg,312.5,610.0,18,3
26,Huế,Huế,BTB,Bắc Trung Bộ,16.475017,107.709558,map/svg/26.svg,354.1,649.3,18,3
29,Quảng Ngãi,Quảng Ngãi Province,NTB,Nam Trung Bộ,14.878872,108.433426,map/svg/29.svg,400.3,749.0,18,3
30,Gia Lai,Gia Lai Province,TN,Tây Nguyên,13.924421,108.580792,map/svg/30.svg,400.9,808.0,18,3
33,Đắk Lắk,Đắk Lắk Province,TN,Tây Nguyên,12.963662,108.593029,map/svg/33.svg,404.2,861.6,18,3
34,Khánh Hòa,Khánh Hòa Province,NTB,Nam Trung Bộ,10.320892,111.599409,map/svg/34.svg,605.8,1100.4,18,3
35,Lâm Đồng,Lâm Đồng Province,TN,Tây Nguyên,11.011260,108.292101,map/svg/35.svg,385.1,967.8,18,3
37,Tây Ninh,Tây Ninh Province,DNB,Đông Nam Bộ,11.049230,106.166967,map/svg/37.svg,275.1,968.1,18,3
39,Đồng Nai,Đồng Nai Province,DNB,Đông Nam Bộ,11.435520,107.035750,map/svg/39.svg,321.3,947.9,18,3
44,An Giang,An Giang Province,DBM,Đồng bằng sông Cửu Long,9.867370,104.432768,map/svg/44.svg,181.9,1032.1,18,3
45,Đồng Tháp,Đồng Tháp Province,DBM,Đồng bằng sông Cửu Long,10.482477,105.946064,map/svg/45.svg,238.8,999.0,18,3
49,Vĩnh Long,Vĩnh Long Province,DBM,Đồng bằng sông Cửu Long,9.849046,106.453325,map/svg/49.svg,288.7,1047.5,18,3
56,Bắc Ninh,Bắc Ninh Province,DBSH,Đồng bằng sông Hồng,21.314207,106.415553,map/svg/56.svg,284.7,365.1,18,3
59,Cà Mau,Cà Mau Province,DBM,Đồng bằng sông Cửu Long,8.873245,104.963391,map/svg/59.svg,192.3,1097.0,18,3
66,Hưng Yên,Hưng Yên Province,DBSH,Đồng bằng sông Hồng,20.497617,106.487884,map/svg/66.svg,284.3,411.0,18,3
68,Phú Thọ,Phú Thọ Province,DBB,Đông Bắc Bộ,21.014341,105.285939,map/svg/68.svg,207.8,382.5,18,3
69,Thái Nguyên,Thái Nguyên Province,DBB,Đông Bắc Bộ,22.022940,105.825508,map/svg/69.svg,246.7,320.3,18,3
71,Điện Biên,Điện Biên Province,TBB,Tây Bắc Bộ,21.710082,103.023072,map/svg/71.svg,104.5,339.4,18,3
CT,Cần Thơ,Cần Thơ,DBM,Đồng bằng sông Cửu Long,9.532451,105.894478,map/svg/CT.svg,255.5,1058.8,18,3
DN,Đà Nẵng,Đà Nẵng,NTB,Nam Trung Bộ,15.705250,108.143763,map/svg/DN.svg,377.0,703.0,18,3
HN,Hà Nội,Hà Nội,DBSH,Đồng bằng sông Hồng,20.998607,105.700561,map/svg/HN.svg,239.9,384.7,18,3
HP,Hải Phòng,Hải Phòng,DBSH,Đồng bằng sông Hồng,20.586767,106.966812,map/svg/HP.svg,296.2,399.1,18,3
SG,Hồ Chí Minh,Ho Chi Minh City,DNB,Đông Nam Bộ,9.668504,107.170893,map/svg/SG.svg,345.6,1043.3,18,3
